original_row_id,merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,has_settlement_account,merchant_status,declared_avg_ticket_size,ticket_size_was_negative,is_suspended_or_blocked,missing_mcc_or_category,category_median_ticket_size,id_collision_flag,merchant_category_missing,mcc_missing,settlement_account_missing
2058,MER1001,Anand-Kothari,,Grocery,Partnership,Pune,Maharashtra,2026-02-17 06:54:00,7962506762,True,Active,332.55,False,False,True,1233.545,False,False,True,False
940,MER1002,"Apte, Saha and Edwin",5812.0,Restaurant,Private Limited,Bengaluru,Karnataka,2026-07-01 09:01:00,XXXX8596,True,Active,1671.2,False,False,False,1327.31,False,False,False,False
2228,MER1003,"Nayar, Batta and Barad",5699.0,Apparel,Private Limited,Chennai,Tamil Nadu,,,False,Active,792.91,False,False,False,1252.4299999999998,False,False,False,True
401,MER1004,Pillai-Mohan,4131.0,Travel,Sole Proprietor,Lucknow,Uttar Pradesh,2023-04-08 00:00:00,3448414449,True,Active,342.7,False,False,False,1012.28,False,False,False,False
1040,MER1005,SAGAR AND SONS,5912.0,Pharmacy,Partnership,Ludhiana,Punjab,2024-02-06 00:00:00,IPTY9767700049775,True,Active,967.53,False,False,False,1300.55,False,False,False,False
3150,MER10071,Jain-Wadhwa,7011.0,Hotel,Private Limited,Chennai,Tamil Nadu,2025-06-30 00:00:00,,False,Inactive,,True,False,False,1161.77,True,False,False,True
970,MER10072,"Sunder, Wason and Pau",5812.0,Restaurant,Partnership,Jaipur,Rajasthan,2023-11-19 00:00:00,,False,Active,164.45,False,False,False,1327.31,True,False,False,True
5431,MER1009,Bha11a-Dave,,Transportation,Individual,Mumbai,Maharashtra,2024-01-08 00:00:00,BAVP5007663773178,True,Active,1496.0,False,False,True,1225.12,False,False,True,False
3754,MER1010,Menon-Andra,,Grocery,Private Limited,Delhi,Delhi,2024-11-17 00:00:00,XXXX4837,True,Active,678.36,False,False,True,1233.545,False,False,True,False
1677,MER1011,Wable and Sons,5411.0,Grocery,Private Limited,Ludhiana,Punjab,2023-11-02 00:00:00,,False,Active,6536.07,False,False,False,1233.545,False,False,False,True
4712,MER10141,"Agate, Saxena and Pandit",5311.0,Department Store,Partnership,Jalandhar,Punjab,2023-12-21 00:00:00,3851769270,True,Active,1096.96,False,False,False,1356.755,True,False,False,False
448,MER10142,"Raghavan, Barad and Bahl",5812.0,Restaurant,Partnership,Pune,Maharashtra,2024-03-23 00:00:00,PDTL9868386773357,True,Active,,False,False,False,1327.31,True,False,False,False
1180,MER1015,Mannan-Subramaniam,7011.0,Hotel,Individual,Hyderabad,Telangana,2024-05-19 00:00:00,,False,Active,,True,False,False,1161.77,False,False,False,True
5659,MER10161,"CHAR, BHARGAVA AND CHAUDHARY",5812.0,Restaurant,Private Limited,Hyderabad,Telangana,,TODJ2902550918108,True,Active,1933.0,False,False,False,1327.31,True,False,False,False
4912,MER10162,"Mangat, Som and Deshmukh",5942.0,Books & Stationery,Individual,Pune,Maharashtra,2025-02-08 00:00:00,OOIR2591293670615,True,Suspended,756.28,False,True,False,1167.225,True,False,False,False
1031,MER10163,"Reddy, Amble and Parmar",4814.0,Telecom,Partnership,Chennai,Tamil Nadu,2023-03-10 00:00:00,,False,Active,517.37,False,False,False,1213.17,True,False,False,True
4708,MER1018,Kannan-Khatri,5311.0,Department Store,Individual,Jalandhar,Punjab,2023-03-19 00:00:00,,False,Active,1791.0,False,False,False,1356.755,False,False,False,True
3007,MER1019,Iyer-Thaker,5699.0,Apparel,Partnership,Kolkata,West Bengal,2025-05-23 00:00:00,XXXX9462,True,Active,,False,False,False,1252.4299999999998,False,False,False,False
706,MER1020,Garg-Kale,4131.0,Transportation,Sole Proprietor,Amritsar,Punjab,2023-05-09 00:00:00,,False,Active,1015.68,False,False,False,1225.12,False,False,False,True
4454,MER10211,Naik-Karpe,5411.0,Grocery,Sole Proprietor,Mumbai,Maharashtra,2025-11-16 17:48:36,BPUY6277335937444,True,Active,2341.57,False,False,False,1233.545,True,False,False,False
4289,MER10212,VARGHESE-RAMACHANDRAN,5812.0,Restaurant,Private Limited,Amritsar,Punjab,,,False,Active,734.0,False,False,False,1327.31,True,False,False,True
5539,MER1022,Ramesh-Bhat,,Misc Retail,Private Limited,Hyderabad,Telangana,,,False,Active,3026.17,False,False,True,1276.92,False,False,True,True
4567,MER10321,Manda-Hayer,7011.0,Hotel,Partnership,Amritsar,Punjab,2025-04-20 00:00:00,XXXX4099,True,Active,674.56,False,False,False,1161.77,True,False,False,False
3093,MER10322,Nori-Nigam,7011.0,Hotel,Sole Proprietor,Pune,Maharashtra,2025-09-21 00:00:00,DXHQ1859405929058,True,Active,652.29,False,False,False,1161.77,True,False,False,False
3620,MER10331,Sidhu and Sons,4814.0,Mobile Recharge,Individual,Jalandhar,Punjab,2023-09-11 00:00:00,WXKC0706100279623,True,Active,1871.48,False,False,False,1108.585,True,False,False,False
6070,MER10332,Virk PLC,7011.0,Hotel,Individual,Amritsar,Punjab,2023-07-08 00:00:00,XXXX6158,True,Closed,,True,False,False,1161.77,True,False,False,False
1549,MER1034,DEVI-CHAUDHARI,7011.0,Hotel,Private Limited,Delhi,Delhi,2024-06-17 22:15:00,XXXX9097,True,Active,243.38,False,False,False,1161.77,False,False,False,False
683,MER1035,  Minhas-Khatri  ,5812.0,Restaurant,Sole Proprietor,Mumbai,Maharashtra,2024-01-24 00:00:00,LDCT0604920639781,True,Active,5777.68,False,False,False,1327.31,False,False,False,False
4600,MER10391,Lal-Barad,4814.0,Telecom,Sole Proprietor,Lucknow,Uttar Pradesh,2025-07-28 00:43:00,,False,Active,3062.03,False,False,False,1213.17,True,False,False,True
1395,MER10392,Palan-Mody,4814.0,Mobile Recharge,Individual,Hyderabad,Telangana,2023-07-14 00:00:00,,False,Active,,True,False,False,1108.585,True,False,False,True
4975,MER10401,chand plc,5912.0,Pharmacy,Individual,Pune,Maharashtra,2024-09-08 00:00:00,,False,Active,653.92,False,False,False,1300.55,True,False,False,True
5312,MER10402,Krishnan and S0ns,5411.0,Grocery,Sole Proprietor,Jalandhar,Punjab,2023-01-06 00:00:00,5805252531,True,Active,1030.03,False,False,False,1233.545,True,False,False,False
4690,MER1041,Pat1a-S0m,,Apparel,Private Limited,Kolkata,West Bengal,2024-04-21 00:00:00,,False,Active,3701.53,False,False,True,1252.4299999999998,False,False,True,True
1802,MER1044,"Jha, Salvi and Setty",5311.0,Retail,Partnership,Hyderabad,Telangana,2024-10-28 00:00:00,VZSQ7155957356020,True,Active,1084.93,False,False,False,1126.42,False,False,False,False
3452,MER10471,"natarajan, kashyap and goel",,Hotel,Private Limited,Kolkata,West Bengal,2023-08-01 00:00:00,XXXX9448,True,Active,2594.0,False,False,True,1161.77,True,False,True,False
2849,MER10472,Rana-Aurora,4814.0,Telecom,Partnership,Bengaluru,Karnataka,2023-08-20 01:01:00,BJXS0430805448675,True,Active,1003.46,False,False,False,1213.17,True,False,False,False
3243,MER1050,Trivedi-Zachariah,5699.0,Apparel,Sole Proprietor,Jaipur,Rajasthan,2025-01-30 00:00:00,0368449602,True,Active,2479.88,False,False,False,1252.4299999999998,False,False,False,False
4327,MER1053,"gera, grover and sehgal",4814.0,Mobile Recharge,Individual,Amritsar,Punjab,2025-02-22 00:00:00,,False,Active,,True,False,False,1108.585,False,False,False,True
4568,MER1054,  Cheema Ltd  ,5311.0,Department Store,Private Limited,Pune,Maharashtra,2023-05-27 00:00:00,,False,Active,868.09,False,False,False,1356.755,False,False,False,True
774,MER1055,Dhingra-Kapoor,5311.0,Retail,Partnership,Bengaluru,Karnataka,2024-12-30 03:08:34,6794786904,True,Active,,True,False,False,1126.42,False,False,False,False
2799,MER1056,Mital-Jhaveri,5311.0,Department Store,Partnership,Amritsar,Punjab,2023-09-10 00:09:34,6820698589,True,Active,5938.05,False,False,False,1356.755,False,False,False,False
4415,MER1058,"Vyas,VirkandDatta",5311.0,Department Store,Partnership,Pune,Maharashtra,2023-01-20 00:00:00,XXXX0826,True,Active,1504.39,False,False,False,1356.755,False,False,False,False
3306,MER1059,Prasad Ltd,4814.0,Mobile Recharge,Partnership,Hyderabad,Telangana,2023-03-18 00:00:00,XXXX9900,True,Active,4187.75,False,False,False,1108.585,False,False,False,False
1195,MER10601,Goda and Sons,5311.0,Department Store,Sole Proprietor,Chennai,Tamil Nadu,2023-05-18 00:00:00,2862334269,True,Closed,2371.8,False,False,False,1356.755,True,False,False,False
4554,MER10602,Sampath-Dora,,Restaurant,Partnership,Jalandhar,Punjab,2023-07-27 03:57:00,,False,Active,2594.73,False,False,True,1327.31,True,False,True,True
