user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,conflict_count,has_conflict,age,signup_year,signup_month,signup_date,account_age_days
USR10001,Osha Dewan,,513399118310.0,1964-03-24,Pune,Maharashtra,37535.0,Retired,,Verified,MEDIUM,0,False,62.47501711156742,,,,
USR10007,Yutika Borra,,110185359606.0,1963-09-27,Bengaluru,Karnataka,20393.0,Unemployed,,Verified,MEDIUM,0,False,62.96509240246407,,,,
USR10010,WARDA DADA,WJVZZ1464B,109561772042.0,,Jalandhar,Punjab,48376.0,Gig Worker,,Pending,HIGH,0,False,,,,,
USR10013,Azaan Nigam,LQQSW5207I,775810013345.0,1982-12-12,Pune,Maharashtra,,Salaried,,Verified,HIGH,0,False,43.75633127994524,,,,
USR10014,Nisha Patil,RPDIH8589M,,,Mumbai,Maharashtra,18633.0,Freelancer,,Verified,MEDIUM,0,False,,,,,
USR10015,NITARA BUTALA,ZATCW5166R,935509473494.0,2007-05-17,Ludhiana,Punjab,7232.0,Freelancer,,Verified,LOW,0,False,19.329226557152637,,,,
USR10020,Ekaraj Bora,OBRCZ2255G,636655257298.0,1982-03-12,Delhi,Delhi,31737.0,Retired,,Verified,MEDIUM,0,False,44.50924024640657,,,,
USR10022,Unni Bajaj,OASHV5339A,2445941007.0,1962-11-10,Amritsar,Punjab,,Gig Worker,,Verified,LOW,0,False,63.84394250513347,,,,
USR10024,Hemang Kumar,UBHIY9130I,219732029547.0,1968-04-14,Kolkata,West Bengal,22557.0,Salaried,,Verified,HIGH,0,False,58.417522245037645,,,,
USR10027,Aayush Shenoy,,938169384804.0,1960-02-16,Delhi,Delhi,18134.0,Retired,,Verified,LOW,0,False,66.5763175906913,,,,
USR10030,Nirja Subramanian,UCCFI2469W,,1982-03-08,Chennai,Tamil Nadu,,Unemployed,,Verified,MEDIUM,0,False,44.5201916495551,,,,
USR10031,YASTI SAMI,IKRBX1473T,555438243372.0,1995-11-26,Pune,Maharashtra,27676.0,Self Employed,,Pending,LOW,0,False,30.80082135523614,,,,
USR10043,rehaan buch,TWXGM2046F,984179043663.0,1991-07-06,Ludhiana,Punjab,17368.0,Business Owner,,Verified,MEDIUM,10,True,35.19233401779603,,,,
USR10045,Mohammed Sur,HGVSK6101C,992158738704.0,1979-03-02,Pune,Maharashtra,,Student,,Failed,MEDIUM,0,False,47.53730321697468,,,,
USR10046,Indrajit Patla,ZIEPW3536D,695001237960.0,2006-01-04,Jalandhar,Punjab,33616.0,Self Employed,,Verified,MEDIUM,0,False,20.692676249144423,,,,
USR10047,Pushti Datta,RPFZI6765W,641592077427.0,1979-06-11,Pune,Maharashtra,38887.0,Salaried,,Pending,LOW,0,False,47.26078028747433,,,,
USR10048,jhalak chaudhry,PVBSX3783Q,428702893969.0,2001-05-31,Bengaluru,Karnataka,48066.0,Retired,,Pending,LOW,0,False,25.28952772073922,,,,
USR10049,Eshana De,OCHZK0381G,862226398615.0,1980-10-16,Amritsar,Punjab,55166.0,Gig Worker,,Verified,MEDIUM,6,True,45.91101984941821,,,,
USR10052,Rohan Kothari,UBWTV8602C,798537002668.0,1960-10-28,Kolkata,West Bengal,61355.0,Business Owner,,Verified,MEDIUM,8,True,65.87816563997262,,,,
USR10054,veda sodhi,,696462768561.0,1977-02-24,Ludhiana,Punjab,,Unemployed,,Verified,LOW,0,False,49.5523613963039,,,,
USR10057,zehaan shetty,KQMXL5728R,249864742603.0,1998-05-30,Kolkata,West Bengal,,Freelancer,,Verified,MEDIUM,0,False,28.292950034223136,,,,
USR10059,Darsh Bhatti,VDRFY3513K,673866403974.0,,Jalandhar,Punjab,62771.0,Unemployed,2024-06-23 22:19:56,Verified,MEDIUM,0,False,,2024.0,6.0,2024-06-23,812.0
USR10064,Yamini Kapadia,LLLDU5856D,887754838298.0,1982-10-16,Ludhiana,Punjab,,Gig Worker,,Pending,UNKNOWN,0,False,43.912388774811774,,,,
USR10066,YashodaSom,GMSVD2441K,673424420270.0,2006-07-26,Jaipur,Rajasthan,25819.0,Student,,Pending,LOW,0,False,20.136892539356605,,,,
USR10069,Fiyaz Pingle,RAHVJ4104Y,987338555178.0,1961-09-27,Mumbai,Maharashtra,49895.0,Business Owner,,Verified,MEDIUM,0,False,64.9637234770705,,,,
USR10070,Vedhika Chaudhry,YDFTR4800M,756077517652.0,1976-03-17,Lucknow,Uttar Pradesh,10797.0,Salaried,,Verified,LOW,0,False,50.49418206707735,,,,
USR10078,BalvanChoudhary,ETFYC6320D,761378261162.0,,Bengaluru,Karnataka,,Unemployed,,Verified,HIGH,0,False,,,,,
USR10085,neel deol,CCHNM7498D,109354020756.0,,Hyderabad,Telangana,,Retired,,Verified,MEDIUM,0,False,,,,,
USR10086,Idika Biswas,IHKMF2011Z,423614293017.0,1998-11-12,Bengaluru,Karnataka,29650.0,Retired,2024-08-08 15:24:44,Rejected,LOW,0,False,27.838466803559207,2024.0,8.0,2024-08-08,766.0
USR10088,Jyoti Soni,JNJEH7052X,716808973823.0,1986-01-05,Ludhiana,Punjab,26367.0,Student,,Verified,LOW,1,True,40.68993839835729,,,,
USR10090,Arya Nadig,FXVKY3589L,,,Lucknow,Uttar Pradesh,13798.0,Freelancer,,Verified,LOW,0,False,,,,,
USR10093,widisha ganesan,,473571830492.0,1967-08-01,Ludhiana,Punjab,,Student,,Verified,HIGH,0,False,59.1211498973306,,,,
USR10095,Dalbir Kala,MYAQM7278K,,1996-11-30,Jalandhar,Punjab,33245.0,Gig Worker,,Verified,LOW,0,False,29.78781656399726,,,,
USR10096,MICHAEL KAPADIA,JKIQW6925C,184907834944.0,1980-03-05,Hyderabad,Telangana,19706.0,Unemployed,,Verified,LOW,0,False,46.52703627652293,,,,
USR10097,Faris Rattan,EJTQU5238W,311297422048.0,1961-09-26,Kolkata,West Bengal,71021.0,Unemployed,,Verified,LOW,0,False,64.96646132785763,,,,
USR10098,xiti ben,,620191162413.0,1961-10-12,Chennai,Tamil Nadu,,Gig Worker,,Rejected,LOW,1,True,64.92265571526352,,,,
USR10100,Gavin Mani,,947872427502.0,2002-12-29,Jalandhar,Punjab,79104.0,Student,,Verified,LOW,0,False,23.709787816564,,,,
USR10101,Vincent Borra,VFLAA3488C,686909110994.0,1966-08-21,Jalandhar,Punjab,,Unemployed,,Verified,HIGH,0,False,60.06570841889117,,,,
USR10106,Onveer Devi,,970976962188.0,2004-10-20,Ludhiana,Punjab,27821.0,Unemployed,,Verified,LOW,0,False,21.90006844626968,,,,
USR10107,KALPIT NARAYAN,PSZIU4769J,757616349442.0,1982-03-24,Hyderabad,Telangana,47795.0,Self Employed,,Verified,LOW,0,False,44.47638603696099,,,,
USR10108,Chame1i Nadig,,790823257838.0,,Chennai,Tamil Nadu,21734.0,Salaried,2025-11-03 14:51:55,Verified,MEDIUM,0,False,,2025.0,11.0,2025-11-03,314.0
USR10114,Anya Gera,,,1970-10-14,Delhi,Delhi,17607.0,Retired,,Verified,MEDIUM,0,False,55.91786447638604,,,,
USR10115,Veda Wali,UBCJF9557Q,771321797377.0,1966-08-16,Chennai,Tamil Nadu,34289.0,Salaried,,Verified,LOW,0,False,60.07939767282683,,,,
USR10123,Jyoti Mukhopadhyay,VFJGH8521W,163850488808.0,1984-08-31,Lucknow,Uttar Pradesh,14855.0,Retired,,Verified,MEDIUM,0,False,42.03696098562629,,,,
USR10126,Chandresh Bail,ERXIZ5289Y,481696420560.0,1968-10-05,Pune,Maharashtra,49735.0,Unemployed,,Verified,LOW,0,False,57.94113620807666,,,,
USR10129,GABRIEL DUGAR,OWICS9646E,963852600278.0,1986-04-16,Lucknow,Uttar Pradesh,30244.0,Freelancer,,Verified,MEDIUM,0,False,40.41341546885695,,,,
USR10130,Osha Raj,HHAIS6963P,82450593233.0,1990-06-25,Pune,Maharashtra,52292.0,Business Owner,,Pending,LOW,0,False,36.2217659137577,,,,
USR10131,KASHISH DUA,JBNMU8104T,225688125895.0,,Chennai,Tamil Nadu,39868.0,Business Owner,,Verified,UNKNOWN,0,False,,,,,
USR10133,Finn Cheema,MXJMT0296U,469613984462.0,1982-11-17,Mumbai,Maharashtra,38349.0,Self Employed,,Verified,HIGH,0,False,43.82477754962355,,,,
USR10143,Vrishti Devi,QBJQU2549A,907263797341.0,1973-01-23,Mumbai,Maharashtra,20853.0,Farmer,,Verified,LOW,0,False,53.63997262149213,,,,
USR10155,Vasatika Pall,VGPGC1828H,901764989131.0,1970-08-21,Mumbai,Maharashtra,,Salaried,,Pending,HIGH,0,False,56.06570841889117,,,,
USR10157,jonathan sood,SFLSS8791F,,1963-01-03,Pune,Maharashtra,34003.0,Business Owner,,Verified,HIGH,0,False,63.696098562628336,,,,
USR10161,Ganga Date,,64650703481.0,,Jaipur,Rajasthan,49452.0,Gig Worker,,Verified,LOW,0,False,,,,,
USR10165,Manbir Manne,ACZUX1398N,155928454479.0,1993-06-01,Chennai,Tamil Nadu,,Self Employed,,Pending,LOW,0,False,33.28678986995209,,,,
USR10166,Maya Sane,ZXJPO3686X,117697892537.0,1978-01-19,Jaipur,Rajasthan,,Salaried,,Verified,MEDIUM,0,False,48.65160848733744,,,,
USR10168,Aarini Rajan,JPGRS7003U,915458342856.0,1967-09-17,Bengaluru,Karnataka,,Retired,,Pending,LOW,0,False,58.992470910335385,,,,
USR10171,Hredhaan Devan,GEEJQ2097Z,611732550236.0,1989-02-14,Kolkata,West Bengal,28921.0,Business Owner,,Verified,HIGH,9,True,37.57973990417522,,,,
USR10174,dayamai borra,GXEQU6279D,292374710522.0,1962-03-28,Chennai,Tamil Nadu,97324.0,Farmer,,Verified,LOW,0,False,64.46543463381246,,,,
USR10176,Alka Bir,,,1971-02-24,Chennai,Tamil Nadu,27058.0,Salaried,,Rejected,LOW,0,False,55.553730321697465,,,,
USR10182,Gunbir S0man,,425164834247.0,2007-05-07,Pune,Maharashtra,31424.0,Freelancer,2026-01-16 21:12:56,Verified,LOW,0,False,19.35660506502396,2026.0,1.0,2026-01-16,240.0
USR10185,Jasmit Rajagopalan,,695364276991.0,1989-04-24,Amritsar,Punjab,74324.0,Gig Worker,,Verified,LOW,0,False,37.39082819986311,,,,
USR10188,SIMON PARSA,GGAKL4874Q,,1997-01-26,Delhi,Delhi,29546.0,Farmer,,Verified,HIGH,9,True,29.631759069130734,,,,
USR10192,Lucky Sani,EUSEA1656K,941955105791.0,1980-12-06,Mumbai,Maharashtra,32350.0,Farmer,,Verified,LOW,0,False,45.77138945927447,,,,
USR10194,Varsha Duga1,VRUMG3903Q,,1963-09-26,Lucknow,Uttar Pradesh,,Farmer,,Verified,LOW,7,True,62.9678302532512,,,,
USR10195,Unnati Shukla,WTDLO1743Z,962156013549.0,1988-04-16,Ludhiana,Punjab,11451.0,Student,,Verified,HIGH,0,False,38.41204654346338,,,,
USR10200,ATI SWAMINATHAN,KJGSF3972C,710661068638.0,1974-03-16,Kolkata,West Bengal,41384.0,Unemployed,2025-09-01 11:23:45,Verified,MEDIUM,0,False,52.498288843258045,2025.0,9.0,2025-09-01,377.0
USR10202,Chandresh Sem,RMZZG6888N,,1995-03-22,Bengaluru,Karnataka,17757.0,Unemployed,,Verified,LOW,10,True,31.482546201232037,,,,
USR10203,CHANAKYA MANDAL,DBZPN0182F,586327469035.0,1986-08-31,Pune,Maharashtra,49109.0,Self Employed,,Verified,MEDIUM,0,False,40.03832991101985,,,,
USR10204,Dhriti Rajagopal,QHAVT4269Z,322002437145.0,1968-03-03,Ludhiana,Punjab,,Self Employed,,Verified,LOW,0,False,58.53251197809719,,,,
USR10205,DIYA TIWARI,CIOAM6886B,563540030977.0,,Ludhiana,Punjab,11613.0,Student,,Verified,MEDIUM,0,False,,,,,
USR10207,Jack Taneja,RIEKD8431Z,,1981-04-15,Ludhiana,Punjab,,Salaried,,Failed,LOW,0,False,45.4154688569473,,,,
USR10209,Samarth Dey,SPRJX8660K,624188250336.0,2001-12-27,Bengaluru,Karnataka,,Retired,,Verified,HIGH,0,False,24.71457905544148,,,,
USR10210,Radha Narayanan,DOJTA0907Z,474868760225.0,1996-03-20,Jalandhar,Punjab,37410.0,Freelancer,,Pending,MEDIUM,0,False,30.48596851471595,,,,
USR10213,Fariq Bhavsar,ASTFC3720B,,1989-08-28,Jaipur,Rajasthan,,Student,,Pending,HIGH,0,False,37.04585900068447,,,,
USR10214,Turvi Kapur,XAWZM1730C,,1989-07-06,Ludhiana,Punjab,25164.0,Farmer,2025-10-28 00:18:34,Pending,MEDIUM,10,True,37.19096509240247,2025.0,10.0,2025-10-28,321.0
USR10216,Unni Vig,,985611909726.0,,Jaipur,Rajasthan,48670.0,Salaried,,Verified,LOW,0,False,,,,,
USR10218,Lekha Keer,TAMQI2883E,12107959469.0,1965-06-07,Ludhiana,Punjab,28990.0,Salaried,,Verified,MEDIUM,0,False,61.270362765229294,,,,
USR10221,Nathan Narain,QRDDA6314T,481397017534.0,1988-11-22,Pune,Maharashtra,76407.0,Unemployed,,Verified,MEDIUM,0,False,37.80971937029432,,,,
USR10222,Tamanna Chand,BRILX4429G,641938173349.0,1988-03-16,Amritsar,Punjab,38181.0,Student,2025-04-12 05:18:46,Verified,LOW,0,False,38.49691991786448,2025.0,4.0,2025-04-12,520.0
USR10223,Eesha Joshi,NKONK8611O,695864736450.0,,Hyderabad,Telangana,,Freelancer,,Pending,MEDIUM,0,False,,,,,
USR10228,Finn Gade,GYXZP9703T,409958614308.0,1992-08-01,Lucknow,Uttar Pradesh,18999.0,Business Owner,,Verified,MEDIUM,0,False,34.119096509240244,,,,
USR10229,Darika Sarna,DXZKM0876A,350074312654.0,1989-04-30,Amritsar,Punjab,22969.0,Student,,Verified,MEDIUM,0,False,37.37440109514032,,,,
USR10232,Vasana Prashad,LQLJH4277R,,1970-01-26,Amritsar,Punjab,,Retired,,Verified,HIGH,0,False,56.63244353182751,,,,
USR10233,Amol Das,DKWOM9606J,844130089156.0,1998-05-06,Bengaluru,Karnataka,,Self Employed,,Verified,HIGH,9,True,28.358658453114305,,,,
USR10239,Girish Koshy,NCDMU2666Q,715261228046.0,1966-02-06,Pune,Maharashtra,38138.0,Retired,,Verified,HIGH,0,False,60.602327173169066,,,,
USR10241,Arya Koshy,CAEML1033G,,2001-12-12,Mumbai,Maharashtra,25630.0,Business Owner,,Verified,LOW,0,False,24.75564681724846,,,,
USR10245,Aachal Gulati,SSCKX6976T,134651420643.0,1993-03-01,Amritsar,Punjab,28505.0,Student,2025-10-11 01:03:52,Verified,MEDIUM,0,False,33.53867214236824,2025.0,10.0,2025-10-11,338.0
USR10249,Pooja Mannan,TKQKC6386T,805674693783.0,1976-03-24,Chennai,Tamil Nadu,35209.0,Unemployed,2025-12-30 06:25:47,Verified,MEDIUM,0,False,50.47501711156742,2025.0,12.0,2025-12-30,258.0
USR10257,Tanish Issac,HQZWV0953B,216604206054.0,,Jalandhar,Punjab,15854.0,Self Employed,2025-03-10 12:06:05,Verified,UNKNOWN,0,False,,2025.0,3.0,2025-03-10,552.0
USR10261,Raksha Khanna,SBSKN9088C,746142855175.0,1992-10-19,Lucknow,Uttar Pradesh,34259.0,Freelancer,,Verified,LOW,0,False,33.90280629705681,,,,
